deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\drone\all\s_04_804487462a	drone	myRETUNE	ambient/trx/spooks_above/drone	s_04	2.373
zs\drone\all\s_05_bdabf04723	drone	myRETUNE	ambient/trx/spooks_above/drone	s_05	2.0
zs\drone\all\s_06_277af8c972	drone	myRETUNE	ambient/trx/spooks_above/drone	s_06	2.0
zs\drone\all\s_07_9423ea79b3	drone	myRETUNE	ambient/trx/spooks_above/drone	s_07	2.0
zs\drone\all\s_08_d9bd2babcf	drone	myRETUNE	ambient/trx/spooks_above/drone	s_08	2.0
zs\drone\all\s_09_727261e227	drone	myRETUNE	ambient/trx/spooks_above/drone	s_09	2.0
zs\drone\all\s_10_99054438c2	drone	myRETUNE	ambient/trx/spooks_above/drone	s_10	2.004
zs\drone\all\s_11_7d635676c7	drone	myRETUNE	ambient/trx/spooks_above/drone	s_11	2.0
zs\drone\all\s_12_e866712944	drone	myRETUNE	ambient/trx/spooks_above/drone	s_12	3.363
zs\drone\all\s_13_4cd4fc10fa	drone	myRETUNE	ambient/trx/spooks_above/drone	s_13	2.261
zs\drone\all\s_14_8b2a241330	drone	myRETUNE	ambient/trx/spooks_above/drone	s_14	2.0
zs\drone\all\sound_01_1466e6f420	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_01	2.247
zs\drone\all\sound_02_7337067365	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_02	1.928
zs\drone\all\sound_03_598b6acf25	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_03	1.732
zs\drone\all\sound_04_f6c0c83b93	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_04	1.775
zs\drone\all\sound_05_d160268b85	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_05	1.693
zs\drone\all\sound_06_4712771ec5	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_06	1.52
zs\drone\all\sound_07_97f73cb239	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_07	1.657
zs\drone\all\sound_08_ac8b3f6d48	drone	AudioExpansion	ambient/trx/spooks_below/drone	sound_08	2.159
zs\foliage\all\bigsnap1_b94f3cb8e1	foliage	Amplified	ambient/soundscape/foliage	bigsnap1	2.244
zs\foliage\all\bigsnap10_ec48d57b60	foliage	Amplified	ambient/soundscape/foliage	bigsnap10	1.885
